,Num days
FiloSottile/age,84.24485220797722
TTTAttributedLabel/TTTAttributedLabel,101.21505787037036
davidmerfield/randomColor,148.97698456790124
google/material-design-lite,41.07921385327635
networkx/networkx,63.21481072984749
bigbluebutton/bigbluebutton,9.256219173441734
symless/synergy-core,13.373158775914279
guard/guard,31.420386666666662
infinitered/ignite,14.203170572916667
dmlc/gluon-cv,115.19710905349795
Countly/countly-server,43.17257449978714
artilleryio/artillery,38.06421157407407
antonioru/beautiful-react-hooks,20.142505787037038
janl/mustache.js,148.69029012345678
kenwheeler/slick,26.98667208431836
gorilla/websocket,296.62753637566135
vueuse/vueuse,5.189309106691919
sindresorhus/type-fest,14.385759099616857
infinitered/reactotron,8.639730305702528
google/latexify_py,208.92649594907405
dotnet/wpf,13.471619663556687
joewalnes/websocketd,407.0968113425926
egulias/EmailValidator,57.2636970338983
binux/pyspider,125.12122010030863
alexfoxy/lax.js,43.62518441358025
maurosoria/dirsearch,199.9935478395062
utom/sketch-measure,53.56655709876543
vercel/pkg,53.41381163194445
alicevision/Meshroom,296.9963425925926
webdriverio/webdriverio,9.670993350935571
XAMPPRocky/tokei,55.03404491631054
Ramotion/animated-tab-bar,25.893310185185186
leecade/react-native-swiper,67.70782870370371
daybrush/moveable,10.993938266053824
greenrobot/greenDAO,232.40388723544973
alievk/avatarify-python,66.75767361111112
vladikoff/chromeos-apk,14.066435185185185
MrS0m30n3/youtube-dl-gui,419.95188078703706
pubkey/rxdb,6.134139929908959
facebook/watchman,7.830054804390483
kanyun-inc/YTKNetwork,221.53715856481483
aceld/zinx,10.002845293209877
tqdm/tqdm,23.248713207618184
FiloSottile/mkcert,107.11876602564102
astrit/css.gg,183.3798296957672
walkor/workerman,22.981562668964585
tinode/chat,28.569369133688483
thoughtbot/bourbon,73.42485961076817
graphql/graphql-spec,443.24730092592586
i18next/i18next,5.608043529369213
DLR-RM/stable-baselines3,58.61692129629629
jpush/aurora-imui,15.013934902890696
mapbox/pixelmatch,158.9947584876543
Eugeny/tabby,12.860228360382855
rofl0r/proxychains-ng,216.10080512152777
